
*
***** S3RelayServer Start (@ 2018/09/06 09:02:04.108) >>>>>
*

[2018/09/06 09:02:04] Init CheckClientID ok!
[2018/09/06 15:34:41] 202 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 15:36:41] 203 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 15:38:41] 204 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 15:40:41] 205 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 15:42:41] 206 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 15:44:41] 207 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 15:46:41] 208 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 15:48:41] 209 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 15:50:41] 210 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 15:52:41] 211 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 15:54:41] 212 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 15:56:41] 213 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 15:58:41] 214 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 16:00:41] 215 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 16:02:41] 216 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 16:04:41] 217 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 16:06:41] 218 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 16:08:41] 219 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 16:10:41] 220 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 16:12:41] 221 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 16:14:41] 222 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 16:16:41] 223 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 16:18:41] 224 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 16:20:41] 225 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 16:22:41] 226 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 16:24:41] 227 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 16:26:41] 228 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 16:28:41] 229 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 16:30:41] 230 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 16:32:41] 231 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 16:34:41] 232 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 16:36:41] 233 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 16:38:41] 234 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 16:40:41] 235 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 16:42:41] 236 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 16:44:41] 237 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 16:46:41] 238 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 16:48:41] 239 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 16:50:41] 240 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 16:52:41] 241 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 16:54:41] 242 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 16:56:41] 243 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 16:58:41] 244 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 17:00:41] 245 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 17:02:41] 246 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 17:04:41] 247 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 17:06:41] 248 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 17:08:41] 249 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 17:10:41] 250 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 17:12:41] 251 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 17:14:41] 252 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 17:16:41] 253 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 17:18:41] 254 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 17:20:41] 255 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 17:22:41] 256 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 17:24:41] 257 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 17:26:41] 258 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 17:28:41] 259 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 17:30:41] 260 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 17:32:41] 261 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 17:34:41] 262 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 17:36:41] 263 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 17:38:41] 264 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 17:40:41] 265 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 17:42:41] 266 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 17:44:41] 267 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 17:46:42] 268 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 17:48:41] 269 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 17:50:41] 270 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 17:52:41] 271 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 17:54:41] 272 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 17:56:41] 273 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 17:58:41] 274 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 18:00:42] 275 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 18:02:41] 276 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 18:04:41] 277 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 18:06:41] 278 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 18:08:41] 279 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 18:10:42] 280 -- Relay volamtrunghieu(103.92.25.248): Ping 120(s)
[2018/09/06 18:12:42] 281 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 18:14:41] 282 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
[2018/09/06 18:16:41] 283 -- Relay volamtrunghieu(103.92.25.248): Ping 119(s)
