0:1	Account: mrhung1	 Name: sadadsadsa	 Level: 80	 IP Address: 42.114.31.43 : 50793
5:18	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51713
5:22	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51717
5:23	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51722
5:25	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51728
5:26	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51730
5:30	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51732
5:33	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51739
5:38	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51741
5:41	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51743
5:43	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51751
5:45	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51755
5:46	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51758
5:50	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51762
5:54	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51766
5:55	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51774
5:59	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51777
6:0	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51780
6:1	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51784
6:2	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51787
6:9	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51793
6:10	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51795
6:16	Account: minhtrand19	 Name: XeÙHètÙR¸c	 Level: 80	 IP Address: 14.174.119.34 : 51798
