2:45	Account: sangtpbrvt2	 Name: SangTp222	 Level: 91	 IP Address: 171.249.86.126 : 55004
2:48	Account: sangtpbrvt3	 Name: SangTp333	 Level: 90	 IP Address: 171.249.86.126 : 55010
2:58	Account: sangtpbrvt5	 Name: SangTp555	 Level: 1	 IP Address: 171.249.86.126 : 55124
4:9	Account: qwqwqw3	 Name: TinhNhatPhai	 Level: 81	 IP Address: 171.252.21.117 : 55255
4:19	Account: qwqwqw	 Name: Tr¶ÙGãp	 Level: 80	 IP Address: 171.252.21.117 : 55324
4:21	Account: qwqwqw3	 Name: TinhNhatPhai	 Level: 81	 IP Address: 171.252.21.117 : 55337
4:23	Account: qwqwqw3	 Name: TinhNhatPhai	 Level: 81	 IP Address: 171.252.21.117 : 55348
4:25	Account: qwqwqw3	 Name: TinhNhatPhai	 Level: 81	 IP Address: 171.252.21.117 : 55372
4:28	Account: qwqwqw3	 Name: TinhNhatPhai	 Level: 81	 IP Address: 171.252.21.117 : 55399
4:36	Account: qwqwqw3	 Name: TinhNhatPhai	 Level: 81	 IP Address: 171.252.21.117 : 55455
4:46	Account: qwqwqw3	 Name: TinhNhatPhai	 Level: 81	 IP Address: 171.252.21.117 : 55600
4:47	Account: qwqwqw3	 Name: TinhNhatPhai	 Level: 81	 IP Address: 171.252.21.117 : 55603
4:47	Account: qwqwqw3	 Name: TinhNhatPhai	 Level: 81	 IP Address: 171.252.21.117 : 55607
4:48	Account: qwqwqw3	 Name: TinhNhatPhai	 Level: 81	 IP Address: 171.252.21.117 : 55620
4:51	Account: qwqwqw3	 Name: TinhNhatPhai	 Level: 81	 IP Address: 171.252.21.117 : 55658
4:57	Account: asdzxcdsa1	 Name: LinhÙNhi	 Level: 86	 IP Address: 171.252.21.117 : 55733
5:1	Account: qwqwqw3	 Name: TinhNhatPhai	 Level: 81	 IP Address: 171.252.21.117 : 55778
5:13	Account: qwqwqw3	 Name: TinhNhatPhai	 Level: 81	 IP Address: 171.252.21.117 : 56236
5:14	Account: qwqwqw3	 Name: TinhNhatPhai	 Level: 81	 IP Address: 171.252.21.117 : 56277
5:19	Account: qwqwqw	 Name: alibaba	 Level: 1	 IP Address: 171.252.21.117 : 56348
5:21	Account: thangvl5	 Name: 5TLSuco	 Level: 100	 IP Address: 183.81.86.145 : 10707
5:23	Account: qwqwqw3	 Name: TinhNhatPhai	 Level: 81	 IP Address: 171.252.21.117 : 56523
5:26	Account: qwqwqw3	 Name: TinhNhatPhai	 Level: 81	 IP Address: 171.252.21.117 : 56658
5:35	Account: qwqwqw3	 Name: TinhNhatPhai	 Level: 81	 IP Address: 171.252.21.117 : 56710
5:49	Account: qwqwqw	 Name: Tr¶ÙGãpÙ9x	 Level: 83	 IP Address: 171.252.21.117 : 56833
5:49	Account: qwqwqw1	 Name: CLGTÙmÑ	 Level: 83	 IP Address: 171.252.21.117 : 56840
7:29	Account: taodeohieu	 Name: ConLonDe1	 Level: 85	 IP Address: 14.235.12.208 : 1133
7:30	Account: taodeohieu	 Name: ConLonDe1	 Level: 85	 IP Address: 14.235.12.208 : 1135
7:32	Account: taodeohieu	 Name: ConLonDe1	 Level: 85	 IP Address: 14.235.12.208 : 1149
7:32	Account: tuanlovekun5	 Name: §­êngÙM«n	 Level: 97	 IP Address: 171.241.216.241 : 52562
