0:1	Account: xebmt004	 Name: XeÙN­ícÙMÝa3	 Level: 92	 IP Address: 27.79.43.143 : 53348
1:4	Account: sarin1	 Name: DocXinh10	 Level: 80	 IP Address: 116.110.119.64 : 51478
1:4	Account: huy102	 Name: Phoiep	 Level: 80	 IP Address: 171.232.181.167 : 50284
1:5	Account: huy102	 Name: Phoiep	 Level: 80	 IP Address: 171.232.181.167 : 50287
1:5	Account: huy103	 Name: Bosssssssss	 Level: 80	 IP Address: 171.232.181.167 : 50290
1:9	Account: huy1714	 Name: B¨ngÙThÇn	 Level: 83	 IP Address: 171.232.181.167 : 50317
1:10	Account: huy100	 Name: TiÓuLýPhiTiªu	 Level: 80	 IP Address: 171.232.181.167 : 50323
1:10	Account: huy101	 Name: Ngò§écHµnhKinh	 Level: 90	 IP Address: 171.232.181.167 : 50325
1:12	Account: huy102	 Name: Phoiep	 Level: 80	 IP Address: 171.232.181.167 : 50354
1:14	Account: huy103	 Name: Bosssssssss	 Level: 80	 IP Address: 171.232.181.167 : 50364
1:15	Account: xebmt1	 Name: Sanboxx	 Level: 80	 IP Address: 171.232.181.167 : 50369
1:15	Account: xebmt1	 Name: san1111	 Level: 80	 IP Address: 171.232.181.167 : 50371
1:15	Account: tuanlovekun5	 Name: B¸CH§äCXUY£NT¢M	 Level: 80	 IP Address: 171.241.216.241 : 51096
1:16	Account: xebmt1	 Name: 2f2rf2rfr	 Level: 80	 IP Address: 171.232.181.167 : 50375
1:16	Account: xebmt2	 Name: santhoi	 Level: 80	 IP Address: 171.232.181.167 : 50380
1:17	Account: xebmt2	 Name: r2g2r2ggg	 Level: 80	 IP Address: 171.232.181.167 : 50385
1:18	Account: xebmt2	 Name: fr1f5r51fr	 Level: 80	 IP Address: 171.232.181.167 : 50389
1:19	Account: xebmt3	 Name: eeeeeeerr	 Level: 80	 IP Address: 171.232.181.167 : 50395
1:19	Account: xebmt3	 Name: rfrfrrr	 Level: 80	 IP Address: 171.232.181.167 : 50399
1:20	Account: xebmt3	 Name: huaddidi	 Level: 80	 IP Address: 171.232.181.167 : 50404
1:21	Account: xebmt4	 Name: chisanboxx	 Level: 80	 IP Address: 171.232.181.167 : 50409
1:21	Account: xebmt4	 Name: djdjdee	 Level: 80	 IP Address: 171.232.181.167 : 50412
1:22	Account: xebmt4	 Name: fsanndnd	 Level: 80	 IP Address: 171.232.181.167 : 50414
1:22	Account: xebmt5	 Name: chuado	 Level: 80	 IP Address: 171.232.181.167 : 50417
1:23	Account: xebmt5	 Name: chuadodo	 Level: 80	 IP Address: 171.232.181.167 : 50422
1:23	Account: nonhantn2	 Name: ThiªnÙNhÉnÙ02	 Level: 80	 IP Address: 113.161.186.65 : 3422
1:23	Account: xebmt5	 Name: gtgt2gtgt	 Level: 80	 IP Address: 171.232.181.167 : 50425
