6:59	Account: xebmt1	 Name: clbuad	 Level: 80	 IP Address: 27.79.74.126 : 53082
6:59	Account: xebmt1	 Name: ChuaDobmt	 Level: 80	 IP Address: 27.79.74.126 : 53084
6:59	Account: xebmt9	 Name: f22rr5r	 Level: 80	 IP Address: 27.79.74.126 : 53088
7:1	Account: phamtungdhv1	 Name: ZzJindozZ	 Level: 85	 IP Address: 42.118.129.73 : 50335
7:5	Account: sangtpbrvt7	 Name: SangTp7	 Level: 80	 IP Address: 14.184.70.55 : 49200
7:6	Account: phamtungdhv2	 Name: ZzNgocCuxiZz	 Level: 83	 IP Address: 42.118.129.73 : 50349
7:11	Account: phamtungdhv3	 Name: ZzNhimXinhzZ	 Level: 83	 IP Address: 42.118.129.73 : 50357
7:13	Account: tumap3001	 Name: TrauBoGapNhau	 Level: 92	 IP Address: 27.75.131.29 : 27769
7:13	Account: tumap3002	 Name: BuffLaiThoi	 Level: 92	 IP Address: 27.75.131.29 : 27776
7:13	Account: tumap3004	 Name: DamManhVao	 Level: 92	 IP Address: 27.75.131.29 : 27778
7:14	Account: tumap3005	 Name: SBossss	 Level: 87	 IP Address: 27.75.131.29 : 27837
7:15	Account: phamtungdhv4	 Name: ZzTungpszZ	 Level: 84	 IP Address: 42.118.129.73 : 50359
7:16	Account: xebmt1	 Name: clbuad	 Level: 80	 IP Address: 27.79.74.126 : 53118
7:18	Account: xebmt9	 Name: frf2r2fr	 Level: 80	 IP Address: 27.79.74.126 : 53123
7:18	Account: tumap3000	 Name: EmChoiLai	 Level: 97	 IP Address: 27.75.131.29 : 27941
7:18	Account: phamtungdhv5	 Name: ZzPhiLongzZ	 Level: 81	 IP Address: 42.118.129.73 : 50364
7:18	Account: xebmt9	 Name: f22rr5r	 Level: 80	 IP Address: 27.79.74.126 : 53125
7:19	Account: xebmt9	 Name: frf2r2fr	 Level: 80	 IP Address: 27.79.74.126 : 53127
7:19	Account: tumap3005	 Name: SBossss	 Level: 87	 IP Address: 27.75.131.29 : 27951
7:19	Account: tumap3004	 Name: DamManhVao	 Level: 92	 IP Address: 27.75.131.29 : 27957
7:19	Account: tumap3001	 Name: TrauBoGapNhau	 Level: 92	 IP Address: 27.75.131.29 : 27961
7:19	Account: tumap3002	 Name: BuffLaiThoi	 Level: 92	 IP Address: 27.75.131.29 : 27964
7:19	Account: tumap3000	 Name: EmChoiLai	 Level: 97	 IP Address: 27.75.131.29 : 27965
7:21	Account: xebmt9	 Name: f22rr5r	 Level: 80	 IP Address: 27.79.74.126 : 53132
7:21	Account: xebmt9	 Name: frf2r2fr	 Level: 80	 IP Address: 27.79.74.126 : 53134
7:23	Account: phamtungdhv6	 Name: ZzYunazZ	 Level: 83	 IP Address: 42.118.129.73 : 50367
7:24	Account: tranhoangcham	 Name: KeVoDanh113	 Level: 82	 IP Address: 113.170.255.227 : 49428
7:26	Account: tranhoangcham2	 Name: trumsanboss	 Level: 80	 IP Address: 113.170.255.227 : 49434
7:26	Account: tumap3004	 Name: DamManhVao	 Level: 92	 IP Address: 27.75.131.29 : 27757
7:26	Account: tumap3002	 Name: BuffLaiThoi	 Level: 92	 IP Address: 27.75.131.29 : 27759
7:26	Account: tumap3001	 Name: TrauBoGapNhau	 Level: 92	 IP Address: 27.75.131.29 : 27762
